"location_id","location_name","parent_id","level","authority","facility_level","medical_bureaus","operational_status","ownership","private_facilities","public_facilities","reporting_status","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name","latitude","longitude","geom_enhanced","facility_level_2","facility_type"
"pNnBtXLwjfP","St Mark Doctor's Clinic","vI78v4kQrbg",6,"Private Authority","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,yx0ieyZNF0l,tM3DsJxMaMX,eLfyrAnVcCd,vI78v4kQrbg,pNnBtXLwjfP","Bunyoro","Kibaale District","Kibaale DLG","Nyamarunda Town Council",1.373333,32.290275,1,"clinic","private"
"pOm3A9Qsw6m","Kahondo Health Centre III","uJLhpdO3O7K",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,G0rlphd2tcD,zBIpPzKYFLp,QoGY8VJVUKi,uJLhpdO3O7K,pOm3A9Qsw6m","Kigezi","Kabale District","Kabale DLG","Maziba Subcounty",-1.288378,30.154895,NA,"clinic","gov_HC"
"pP17hGzVU5s","Kk Clinic","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,pP17hGzVU5s","Kampala","Kampala District","Kampala City Council","Lubaga Division",0.308346,32.556384,NA,"clinic","private"
"pPULGvIh8se","Quality Health Care Initiative","eNfm0rdOENJ",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,F1o6qBSx783,xAJgEKKAeRA,jzHf1C8I7d0,eNfm0rdOENJ,pPULGvIh8se","Ankole","Sheema District","Sheema Municipality","Kabwohe Division",NA,NA,NA,"clinic","private"
"pQDmyQ0AA41","Kamoru Health Centre II","jAd3Yz8eWoM",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,jdlbNUwJiKX,aPZzL4CyBTg,yIxmDWdovAl,jAd3Yz8eWoM,pQDmyQ0AA41","Karamoja","Kotido District","Kotido DLG","Panyangara Subcounty",2.940476,34.082518,NA,"clinic","gov_HC"
"pSUPvzr5g6r","Katajula Health Centre III","DQc5kV0NulE",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y,AsqOLnI3J1N,DQc5kV0NulE,pSUPvzr5g6r","Bukedi","Tororo District","Tororo DLG","Nagongera Subcounty",0.775743,33.981382,NA,"clinic","gov_HC"
"pSrD14M5xnb","Nyarushanje Prisons Health Centre II","rVlOahJhyvJ",6,"UPS","HC II",NA,"Functional","GOV",NA,"UPS","Reporting","akV6429SUqu,G0rlphd2tcD,tugqr4dY6wq,sfRQ45Yk0K7,rVlOahJhyvJ,pSrD14M5xnb","Kigezi","Rukungiri District","Rukungiri DLG","Nyarushanje Subcounty",-0.9978683,29.961669,1,"clinic","gov_HC"
"pTKUH9zt2et","Entebbe Lake Side Hospital","nLs3FmRSZhO",6,"Private Authority","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,jzNvCTo4a6g,nLs3FmRSZhO,pTKUH9zt2et","South Buganda","Wakiso District","Wakiso DLG","Katabi Town Council",0.0878866,32.494003,1,"clinic","private"
"pTXQvDDIWzP","Ikafe Health Centre II","GUNcDwlsQYQ",6,"UPF","HC II",NA,"Functional","GOV",NA,"UPF","Reporting","akV6429SUqu,BD3XaQ7cQAp,W1JM2Qdhcv3,ntivgeuo9La,GUNcDwlsQYQ,pTXQvDDIWzP","West Nile","Yumbe District","Yumbe DLG","Ariwa Subcounty",3.298538,31.345061,NA,"clinic","gov_HC"
"pTfyxQwLVrR","Mercy Clinic (Ntinda)","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,pTfyxQwLVrR","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.356444,32.613391,NA,"clinic","private"
